job_id,user,node_num,gpu_num,cpu_num,mem_per_pod_GB,shared_mem_per_pod,type,state,submit_time,start_time,end_time,fail_time,stop_time,duration,queue,gpu_time
dlcgyqqkk2pjpv1i,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:53:17+00:00,2023-05-28 12:53:26+00:00,2023-05-28 12:53:33+00:00,,,16,9.0,32.0
dlcx24lc4787e4cw,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 12:58:32+00:00,2023-05-28 12:58:41+00:00,2023-05-28 13:02:43+00:00,,,251,9.0,502.0
dlc1izuzno591ty5,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 14:08:07+00:00,2023-05-28 14:08:15+00:00,2023-05-28 14:08:44+00:00,,,37,8.0,74.0
dlcuuvpxgefx8adn,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 14:10:56+00:00,2023-05-28 14:11:05+00:00,2023-05-28 14:17:15+00:00,,,379,9.0,758.0
dlc4hzp504htfukk,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 14:13:37+00:00,2023-05-28 14:13:46+00:00,2023-05-28 14:14:22+00:00,,,45,9.0,90.0
dlcu0ycckwfwcs2w,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 14:15:08+00:00,2023-05-28 14:15:16+00:00,2023-05-28 14:19:31+00:00,,,263,8.0,526.0
dlc1s5kef8yxfeo5,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 14:17:11+00:00,2023-05-28 14:17:21+00:00,2023-05-28 14:17:39+00:00,,,28,10.0,56.0
dlclpbxfo10u1mho,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 14:18:55+00:00,2023-05-28 14:19:07+00:00,2023-05-28 14:23:26+00:00,,,271,12.0,542.0
dlc1u4cglgftf3h0,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 15:51:11+00:00,2023-05-28 15:51:21+00:00,2023-05-28 15:51:47+00:00,,,36,10.0,72.0
dlclq9n2cas3cgmo,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 16:01:18+00:00,2023-05-28 16:01:29+00:00,2023-05-28 16:02:00+00:00,,,42,11.0,84.0
dlc18rdcec3tdwk3,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 16:06:58+00:00,2023-05-28 16:07:10+00:00,2023-05-28 16:07:57+00:00,,,59,12.0,118.0
dlc1ouy804vkqqqb,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-28 16:33:32+00:00,2023-05-28 16:33:44+00:00,2023-05-28 16:34:31+00:00,,,59,12.0,118.0
dlc8cb8jo46t79d5,u212a,1,0,120,1000,20.0,CPU,COMPLETED,2023-05-29 05:39:43+00:00,2023-05-29 05:39:47+00:00,2023-05-29 05:47:22+00:00,,,459,4.0,
dlc170zais6herin,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 05:50:20+00:00,2023-05-29 05:50:35+00:00,2023-05-29 05:53:31+00:00,,,191,15.0,382.0
dlc13p5khwsrczj5,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 05:54:24+00:00,2023-05-29 05:54:52+00:00,2023-05-29 05:55:21+00:00,,,57,28.0,114.0
dlcxvfi10h8hbj19,u212a,1,2,120,1000,20.0,Other,COMPLETED,2023-05-29 05:58:19+00:00,2023-05-29 05:58:49+00:00,2023-05-29 06:03:14+00:00,,,295,30.0,590.0
